,Company,rating,reviews,place,company type,old
2468,Health Care Glob...,3.5,(175 Reviews),"Bangalore/Bengaluru,Karnataka + 27 more",Public,33 years old
2469,HomeShop18,4.3,(175 Reviews),"Noida,Uttar Pradesh + 15 more",Private,14 years old
2470,IVTL Infoview Te...,3.3,(175 Reviews),"Chennai,Tamil Nadu",Private,22 years old
2471,Hinduja Housing ...,3.9,(175 Reviews),"Chennai,Tamil Nadu + 65 more",Private,7 years old
2472,REPCO HOME FINAN...,3.8,(175 Reviews),"Chennai,Tamil Nadu + 56 more",Public,22 years old
2473,Kirloskar Electr...,3.6,(175 Reviews),"Bangalore/Bengaluru,Karnataka + 18 more",Public,76 years old
2474,Collegedunia,3.4,(175 Reviews),"Gurgaon/Gurugram,Haryana + 11 more",Private,8 years old
2475,Aka Logistics,3.2,(175 Reviews),"Kolkata,West Bengal + 26 more",Public,14 years old
2476,Licious,4.0,(175 Reviews),"Bangalore,Karnataka + 18 more",Private,7 years old
2477,Hamilton Housewa...,3.8,(175 Reviews),"Mumbai,Maharashtra + 14 more",Private,50 years old
2478,Total,3.5,(231 Reviews),Paris + 30 more,Private,98 years old
2479,Sharda Universit...,3.8,(174 Reviews),Greater Noida + 9 more,Private,13 years old
2480,Subway,4.4,(174 Reviews),"Milford,Connecticut + 43 more",Private,57 years old
2481,Hettich,3.6,(174 Reviews),Kirchlengern + 23 more,Private,134 years old
2482,ACB (India),3.7,(174 Reviews),"Gurgaon/Gurugram,Haryana + 14 more",Public,25 years old
2483,GD Research Cent...,3.8,(174 Reviews),"Hyderabad/Secunderabad,Telangana + 7 more",Private,15 years old
2484,Carl Zeiss,4.0,(174 Reviews),"Oberkochen,Baden-wurttemberg + 21 more",Private,13 years old
2485,Ergode IT Servic...,4.0,(174 Reviews),"Mumbai,Maharashtra + 3 more",Private,16 years old
2486,Citco,2.9,(174 Reviews),Cayman Islands + 3 more,Private,6 years old
2487,Novateur Electri...,3.9,(174 Reviews),Chennai + 48 more,Private,38 years old
2488,Military Enginee...,4.4,(174 Reviews),99 years old,"Delhi/NCR,Delhi + 48 more",51-200 Employees (India)
2489,RCL-PRIYA CEMENT,4.1,(174 Reviews),48 years old,"Hyderabad/Secunderabad,Telangana + 25 more",1-10 Employees (India)
2490,Metso Outotec,4.4,(174 Reviews),501-1k Employees (India),Gurgaon/Gurugram + 18 more,
2491,Madhu Jayanti In...,4.2,(174 Reviews),"Kolkata,West Bengal + 27 more",Public,80 years old
2492,CK Birla Group,4.0,(2k Reviews),160 years old,"Delhi/NCR,New Delhi + 34 more",10k-50k Employees (India)
2493,Tube Investments...,4.0,(436 Reviews),Chennai + 26 more,Public,63 years old
2494,Shriram Automall,4.1,(349 Reviews),"Delhi/NCR,Delhi + 67 more",Private,12 years old
2495,Infosys Consulti...,3.9,(211 Reviews),18 years old,Zurich + 21 more,1 Lakh+ Employees (India)
2496,National Organic...,4.1,(173 Reviews),"Mumbai,Maharashtra + 10 more",Public,47 years old
2497,Apollo Clinic,4.1,(173 Reviews),20 years old,Hyderabad + 29 more,201-500 Employees (India)
2498,All India Instit...,4.5,(173 Reviews),New Delhi + 15 more,Private,66 years old
2499,Shree Baidyanath...,3.4,(173 Reviews),"Allahabad/Prayagraj,Uttar Pradesh + 25 more",Private,105 years old
2500,Arabtec Construc...,4.5,(173 Reviews),"Dubai,Dubai + 12 more",Private,47 years old
2501,Zen3 Info Soluti...,3.8,(173 Reviews),"Redmond,Washington + 3 more",Private,19 years old
2502,National Payment...,3.5,(173 Reviews),"Mumbai,Maharashtra + 7 more",Private,17 years old
2503,Sundaram Auto Co...,4.1,(173 Reviews),42 years old,"Bhiwadi,Rajasthan + 11 more",201-500 Employees (India)
2504,Reliance Jewels,4.2,(173 Reviews),"Mumbai,Maharashtra + 58 more",Private,15 years old
2505,Bses Yamuna Powe...,3.6,(173 Reviews),20 years old,New Delhi + 1 more,501-1k Employees (India)
2506,Tsys Card Tech S...,4.2,(173 Reviews),38 years old,"Columbus,Georgia + 1 more",1k-5k Employees (India)
2507,Veritas Finance,4.3,(173 Reviews),"Chennai,Tamil Nadu + 71 more",Private,7 years old
2508,Mothers Recipe,4.2,(173 Reviews),121 years old,"Pune,Maharashtra + 32 more",501-1k Employees (India)
2509,Dhani Healthcare,3.7,(173 Reviews),501-1k Employees (India),Gurgaon/Gurugram + 51 more,
2510,Amentum,4.5,(173 Reviews),,Bengaluru/Bangalore + 19 more,
2511,Sears Holdings,3.4,(178 Reviews),"Hoffman Estates,Illinois + 4 more",Private,13 years old
2512,Krsnaa Diagnosti...,3.5,(172 Reviews),12 years old,"Pune,Maharashtra + 32 more",51-200 Employees (India)
2513,Windlas Biotech,4.0,(172 Reviews),21 years old,Gurugram + 9 more,501-1k Employees (India)
2514,GSP Crop Science,4.0,(172 Reviews),"Ahmedabad,Gujarat + 22 more",Private,37 years old
2515,Zoomcar,3.9,(172 Reviews),"Bangalore,Karnataka + 26 more",Private,10 years old
2516,Electrosteel Cas...,3.9,(172 Reviews),"Kolkata,West Bengal + 7 more",Public,67 years old
2517,Himatsingka Seid...,4.0,(172 Reviews),"Bangalore/Bengaluru,Karnataka + 5 more",Public,37 years old
2518,eTeam,3.7,(172 Reviews),"South Plainfield,New Jersey + 13 more",Private,23 years old
2519,eTeam,3.7,(172 Reviews),"South Plainfield,New Jersey + 13 more",Private,23 years old
2520,Krsnaa Diagnosti...,3.5,(172 Reviews),12 years old,"Pune,Maharashtra + 32 more",51-200 Employees (India)
2521,Windlas Biotech,4.0,(172 Reviews),21 years old,Gurugram + 9 more,501-1k Employees (India)
2522,Sun Pharma Labor...,4.1,(172 Reviews),39 years old,"Mumbai,Maharashtra + 31 more",1k-5k Employees (Global)
2523,HSBC Global Serv...,4.1,(172 Reviews),London + 9 more,Private,157 years old
2524,Cipla Industries,3.8,(172 Reviews),24 years old,New Delhi + 27 more,11-50 Employees (India)
2525,Himatsingka Seid...,4.0,(172 Reviews),"Bangalore/Bengaluru,Karnataka + 5 more",Public,37 years old
2526,Stanza Living,3.4,(172 Reviews),"Delhi,NCT + 14 more",Private,5 years old
2527,Škoda Auto India,4.4,(172 Reviews),21 years old,"Aurangabad,Maharashtra + 32 more",1k-5k Employees (India)
2528,Hamdard,4.1,(172 Reviews),116 years old,"Delhi/NCR,Delhi + 37 more",501-1k Employees (India)
2529,NAFFCO,4.1,(172 Reviews),"Dubai,Dubai + 15 more",Private,31 years old
2530,Weblink In,4.0,(172 Reviews),"New Delhi,Delhi + 4 more",Private,25 years old
2531,Mungi Group,3.5,(172 Reviews),"Pune,Maharashtra + 3 more",Private,38 years old
2532,Halliburton,3.8,(171 Reviews),"Houston,Texas + 17 more",Private,103 years old
2533,SHYAM METALICS A...,3.6,(171 Reviews),"Kolkata,West Bengal + 12 more",Private,27 years old
2534,Checkmate Servic...,4.1,(171 Reviews),"Vadodara/Baroda,Gujrat + 44 more",Private,30 years old
2535,Consulting Engin...,4.3,(171 Reviews),"Jaipur,Rajasthan + 33 more",Public,38 years old
2536,Park Hospital,3.5,(171 Reviews),40 years old,"Gurgaon/Gurugram,Haryana + 13 more",501-1k Employees (Global)
2537,Piramal Swasthya,3.9,(171 Reviews),15 years old,"Hyderabad/Secunderabad,Telangana + 29 more",1k-5k Employees (Global)
2538,Bluechip Corpora...,4.0,(171 Reviews),26 years old,"Mumbai,Maharashtra + 55 more",1k-5k Employees (Global)
2539,Rane Brake Linin...,4.4,(171 Reviews),"Chennai,Tamil Nadu + 11 more",Public,58 years old
2540,ISS SDB Security...,4.1,(171 Reviews),Mumbai + 37 more,Private,12 years old
2541,Columbia Petro C...,4.4,(171 Reviews),"Mumbai,Maharashtra + 10 more",Private,62 years old
2542,Spark Minda,3.8,(171 Reviews),Gurgaon + 20 more,Public,64 years old
2543,McAfee,4.0,(177 Reviews),"Santa Clara,California + 6 more",Private,35 years old
2544,Munjal Kiriu Ind...,3.8,(170 Reviews),"Gurgaon/Gurugram,Haryana + 5 more",Private,66 years old
2545,Drake & Scull In...,3.8,(170 Reviews),Dubai + 15 more,Private,141 years old
2546,Sata Vikas India,3.6,(170 Reviews),"Aurangabad,Maharashtra + 7 more",JV,15 years old
2547,Teamware Solutio...,4.1,(170 Reviews),"Chennai,Tamil Nadu + 8 more",Private,19 years old
2548,Magic Software,3.6,(170 Reviews),"Or Yehuda,Tel Aviv + 3 more",Private,39 years old
2549,Kaizen IT Servic...,3.5,(170 Reviews),"Kolkata,West Bengal + 41 more",Private,23 years old
2550,Clariant Chemica...,4.2,(170 Reviews),"Muttenz,Bael-Country + 14 more",Public,27 years old
2551,Vertex,3.6,(170 Reviews),"King Of Prussia,Pennsylvania + 18 more",Private,33 years old
2552,Kuwait Oil Compa...,4.6,(170 Reviews),88 years old,Ahmadi + 8 more,5k-10k Employees (Global)
2553,McNroe Consumer ...,3.7,(170 Reviews),"Kolkata,West Bengal + 39 more",Private,36 years old
2554,THE KCP,4.2,(170 Reviews),"Chennai,Tamil Nadu + 16 more",Public,81 years old
2555,Dalmia-OCL,3.8,(170 Reviews),6 years old,New Delhi + 24 more,501-1k Employees (Global)
2556,Religare,3.9,(170 Reviews),"New Delhi,Delhi + 51 more",Public,38 years old
2557,Sri Sri Tattva,3.9,(170 Reviews),"Bangalore/Bengaluru,Karnataka + 27 more",Private,19 years old
2558,Einfochips,3.7,(170 Reviews),"San Jose,California + 3 more",Private,28 years old
2559,Becton Dickinson,4.2,(180 Reviews),21 years old,"Franklin Lakes,New Jersey + 19 more",501-1k Employees (India)
2560,Treebo Hotels,3.8,(172 Reviews),"Bangalore,Karnataka + 23 more",Private,7 years old
2561,GMR Energy,4.4,(169 Reviews),"Delhi,NCT + 21 more",Public,26 years old
2562,Accord Synergy,3.5,(169 Reviews),"Vadodara/Baroda,Gujrat + 26 more",Public,8 years old
2563,Molecular Connec...,3.5,(169 Reviews),"Bangalore/Bengaluru,Karnataka + 17 more",Private,21 years old
2564,Bombay Intellige...,3.8,(169 Reviews),"Mumbai,Maharashtra + 39 more",Private,46 years old
2565,Lotus Herbals,4.2,(169 Reviews),"Mumbai,Maharashtra + 29 more",Private,29 years old
2566,Mjunction Servic...,3.9,(169 Reviews),Kolkata + 17 more,JV,21 years old
2567,SG Analytics,3.7,(169 Reviews),Pune + 1 more,Private,16 years old
2568,Metro Hospital &...,3.7,(169 Reviews),25 years old,Noida + 15 more,1k-5k Employees (Global)
2569,Bonace Engineers,4.0,(169 Reviews),"Mumbai,Maharashtra + 20 more",Private,27 years old
2570,Sgs Tekniks Manu...,4.0,(169 Reviews),Gurgaon + 7 more,Private,32 years old
2571,PayU Payments,4.1,(169 Reviews),Hoofddorp + 9 more,Private,20 years old
2572,Spinny,4.2,(169 Reviews),"Gurgaon,Haryana + 18 more",Private,7 years old
2573,ESDS Software So...,4.1,(169 Reviews),"Nashik,Maharashtra + 9 more",Private,17 years old
2574,Indian Bank,3.9,(171 Reviews),Chennai + 45 more,Private,115 years old
2575,Amrita Institute...,4.5,(168 Reviews),"Kochi/Cochin,Kerala + 10 more",Private,24 years old
2576,Zuari Cement,4.2,(168 Reviews),"Bangalore/Bengaluru,Karnataka + 25 more",Private,22 years old
2577,Raptakos Brett a...,3.4,(168 Reviews),"Mumbai,Maharashtra + 30 more",Public,92 years old
2578,Elico Healthcare...,3.1,(168 Reviews),"Hyderabad/Secunderabad,Telangana + 1 more",Private,23 years old
2579,Sri Krishna Phar...,4.0,(168 Reviews),"Hyderabad/Secunderabad,Telangana + 4 more",Private,48 years old
2580,Kandhari Beverag...,3.8,(168 Reviews),"Chandigarh,Chandigarh + 16 more",Private,55 years old
2581,Modi Mundi Pharm...,3.7,(168 Reviews),"Delhi/NCR,Delhi + 32 more",Private,32 years old
2582,Prione Business ...,4.2,(168 Reviews),"Bangalore/Bengaluru,Karnataka + 22 more",Private,8 years old
2583,Sir Ganga Ram Ho...,4.3,(168 Reviews),"Delhi/NCR,New Delhi + 13 more",Private,68 years old
2584,National Stock E...,3.6,(168 Reviews),"Mumbai,Maharashtra + 22 more",Private,30 years old
2585,Keihin India Man...,4.1,(168 Reviews),66 years old,Tokyo + 8 more,51-200 Employees (India)
2586,GAVS Technologie...,4.1,(168 Reviews),"Princeton,New Jersey + 7 more",Private,24 years old
2587,Rusan Pharma,3.2,(168 Reviews),"Mumbai,Maharashtra + 9 more",Private,28 years old
2588,Tanishq Jeweller...,4.4,(168 Reviews),28 years old,Bengaluru + 67 more,501-1k Employees (India)
2589,Tagros Chemicals...,3.8,(168 Reviews),"Chennai,Tamil Nadu + 5 more",Private,18 years old
2590,Claris Lifescien...,4.0,(167 Reviews),"Ahmedabad,Gujrat + 16 more",Public,23 years old
2591,Barista Coffee C...,4.0,(167 Reviews),"Delhi/NCR,New Delhi + 22 more",Private,23 years old
2592,Haldia Petrochem...,3.9,(167 Reviews),Kolkata + 8 more,Private,37 years old
2593,MIOT INTERNATION...,3.9,(167 Reviews),23 years old,"Chennai,Tamil Nadu + 5 more",501-1k Employees (India)
2594,2COMS,3.5,(167 Reviews),"Kolkata,West Bengal + 31 more",Private,23 years old
2595,Popular Vehicles...,4.3,(167 Reviews),"Ernakulam,Kerala + 18 more",Private,83 years old
2596,L&T Valves,3.6,(167 Reviews),"Chennai,Tamil Nadu + 7 more",Private,61 years old
2597,Wallace Pharmace...,3.8,(167 Reviews),"Panaji/Panjim,Goa + 29 more",Private,54 years old
2598,Nava Bharat Vent...,3.9,(167 Reviews),"Hyderabad/Secunderabad,Telangana + 18 more",Public,50 years old
2599,Zydex Industries,4.1,(167 Reviews),"Vadodara/Baroda,Gujrat + 39 more",Private,25 years old
2600,MOURI Tech,3.9,(167 Reviews),"Dallas,Texas + 5 more",Private,17 years old
2601,Amazon Web Servi...,4.1,(167 Reviews),16 years old,"Seattle,Washington + 20 more",50k-1 Lakh Employees (Global)
2602,Selec Controls,3.5,(167 Reviews),"Mumbai,Maharashtra + 3 more",Private,22 years old
2603,Sequential Techn...,4.1,(167 Reviews),Windermere + 5 more,Private,6 years old
2604,Pepperfry,3.6,(167 Reviews),"Mumbai,Maharashtra + 21 more",Private,11 years old
2605,Indian Institute...,4.3,(167 Reviews),"Gandhinagar,Gujarat + 22 more",Private,14 years old
2606,Weddingz.in,3.1,(167 Reviews),"Mumbai,Maharashtra + 28 more",Private,7 years old
2607,Impetus Technolo...,3.8,(167 Reviews),Los Gatos + 14 more,Private,31 years old
2608,Nuziveedu Seeds,4.2,(167 Reviews),"Hyderabad/Secunderabad,Telangana + 38 more",Public,49 years old
2609,Qatar Petroleum,4.1,(960 Reviews),Doha + 10 more,Other,48 years old
2610,Capital small Fi...,4.1,(166 Reviews),23 years old,Jalandhar + 36 more,1k-5k Employees (India)
2611,Associated Road ...,4.2,(166 Reviews),"Hyderabad/Secunderabad,Telangana + 42 more",Private,50 years old
2612,Konecranes,3.8,(166 Reviews),Hyvinkää + 10 more,Private,47 years old
2613,Mettler-Toledo,3.6,(166 Reviews),"Greifensee,Zurich + 17 more",Private,76 years old
2614,Gilbarco Veeder ...,3.8,(166 Reviews),Greensboro + 25 more,Private,157 years old
2615,Hyundai Construc...,4.0,(166 Reviews),"Pune,Maharashtra + 23 more",Private,15 years old
2616,Autometers Allia...,4.1,(166 Reviews),"Noida,Uttar Pradesh + 8 more",Private,63 years old
2617,Jupiter Hospital,3.9,(166 Reviews),"Thane,Maharashtra + 5 more",Private,15 years old
2618,Netaxis IT Solut...,3.9,(166 Reviews),"Chennai,Tamil Nadu",Private,22 years old
2619,Maxop Engineerin...,4.2,(166 Reviews),19 years old,"Delhi/NCR,Delhi + 7 more",201-500 Employees (India)
2620,Central Institut...,3.8,(166 Reviews),54 years old,"Chennai,Tamil Nadu + 33 more",1k-5k Employees (Global)
2621,Calsonic Kansei ...,4.1,(166 Reviews),Noida + 7 more,Private,47 years old
2622,Solara Active Ph...,3.9,(166 Reviews),"Chennai,Tamil Nadu + 11 more",Public,4 years old
2623,Basicfirst Learn...,3.1,(166 Reviews),"Bengaluru/Bangalore,Karnataka + 25 more",Private,4 years old
2624,Drydocks World D...,4.2,(165 Reviews),39 years old,"Dubai,Dubai + 11 more",10k-50k Employees (Global)
2625,ITCONS e-Solutio...,3.5,(165 Reviews),"Noida,Uttar Pradesh + 55 more",Private,15 years old
2626,Arena Animation,3.9,(165 Reviews),Mumbai + 47 more,Private,26 years old
2627,Mantri Developer...,3.3,(165 Reviews),"Bangalore/Bengaluru,Karnataka + 5 more",Private,23 years old
2628,Focus Energy,3.5,(165 Reviews),"Gurgaon/Gurugram,Haryana + 8 more",Private,36 years old
2629,Puravankara Proj...,4.2,(165 Reviews),"Bangalore/Bengaluru,Karnataka + 8 more",Private,47 years old
2630,CPM India Sales ...,4.3,(165 Reviews),New Delhi + 25 more,Private,14 years old
2631,Rinder India,3.9,(165 Reviews),"Pune,Maharashtra + 7 more",Private,25 years old
2632,Infodrive,4.6,(165 Reviews),"New Delhi,Delhi + 2 more",Private,26 years old
2633,IKEA,4.4,(165 Reviews),Delft + 12 more,Private,79 years old
2634,Tata Global Beve...,4.2,(266 Reviews),"Mumbai,Maharashtra + 35 more",Public,60 years old
2635,Allianz Worldwid...,3.9,(164 Reviews),8 years old,Saint-Ouen + 8 more,1k-5k Employees (India)
2636,VVF,4.0,(164 Reviews),Mumbai + 14 more,Public,83 years old
2637,Wipro Digital,3.6,(164 Reviews),"Brooklyn,New York + 12 more",Private,7 years old
2638,Bird Worldwide F...,3.7,(164 Reviews),New Delhi + 8 more,Private,23 years old
2639,Watertec India,4.2,(164 Reviews),"Coimbatore,Tamil Nadu + 44 more",Private,25 years old
2640,Grey Orange,4.0,(164 Reviews),"Gurgaon,Haryana + 8 more",Private,11 years old
2641,ESAB,4.3,(164 Reviews),"Chennai,Tamil Nadu + 16 more",Public,35 years old
2642,Jaypee Hospital,4.2,(164 Reviews),Noida + 6 more,Private,8 years old
2643,Arabian Construc...,4.2,(164 Reviews),55 years old,Beirut + 21 more,10k-50k Employees (India)
2644,Roki Minda Co,4.6,(164 Reviews),Bawal + 15 more,Private,12 years old
2645,Cheil India,3.3,(164 Reviews),Gurugram + 14 more,Private,19 years old
2646,Ienergizer BPO S...,3.4,(164 Reviews),5k-10k Employees (India),Noida + 6 more,
2647,Data Entry,3.8,(164 Reviews),New Delhi + 64 more,Private,23 years old
2648,Sterling Hospita...,4.2,(164 Reviews),"Ahmedabad,Gujarat + 11 more",Public,21 years old
2649,Aludecor Laminat...,3.9,(163 Reviews),18 years old,"Kolkata,West Bengal + 22 more",201-500 Employees (India)
2650,Delhi Duty Free ...,4.1,(163 Reviews),"Delhi/NCR,New Delhi + 6 more",Partnership,12 years old
2651,GE Capital,3.9,(163 Reviews),Norwalk + 12 more,Private,90 years old
2652,NGA HR,4.0,(163 Reviews),"Hemel Hempstead,Hertfordshire + 11 more",Private,53 years old
2653,Srei Sahaj e-Vil...,3.9,(163 Reviews),"Kolkata,West Bengal + 32 more",Private,14 years old
2654,Tata ClassEdge,4.1,(163 Reviews),"Mumbai,Maharashtra + 36 more",Public,11 years old
2655,Veeda Clinical R...,4.3,(163 Reviews),"Ahmedabad,Gujarat + 3 more",Private,18 years old
2656,Citrix,3.9,(163 Reviews),"Fort Lauderdale,Florida + 2 more",Private,33 years old
2657,Rosenberger Elec...,4.2,(163 Reviews),64 years old,Tittmoning + 20 more,501-1k Employees (India)
2658,Banco Products,3.6,(163 Reviews),"Vadodara/Baroda,Gujrat + 9 more",Public,61 years old
2659,Cargo Motors,4.2,(163 Reviews),"Ahmedabad,Gujrat + 20 more",Private,63 years old
2660,Tops Security,2.9,(163 Reviews),"Mumbai,Maharashtra + 24 more",Private,52 years old
2661,Mep Infrastructu...,3.7,(163 Reviews),"Mumbai,Maharashtra + 22 more",Public,20 years old
2662,Syneos Health,4.0,(163 Reviews),"Morrisville,North Carolina + 5 more",Private,38 years old
2663,Kraft Heinz Comp...,4.2,(164 Reviews),"Mumbai,Maharashtra + 30 more",Private,28 years old
2664,Sumitomo Chemica...,4.2,(163 Reviews),"Chuo City,Tokyo + 37 more",Private,97 years old
2665,Overnite Express,3.5,(162 Reviews),"Delhi/NCR,Delhi + 35 more",Private,35 years old
2666,FieldFresh Foods,4.2,(162 Reviews),"Gurgaon/Gurugram,Haryana + 23 more",Private,18 years old
2667,TIBCO Software,4.3,(162 Reviews),"Palo Alto,California + 6 more",Private,25 years old
2668,VSoft Technologi...,3.4,(162 Reviews),"Hyderabad/Secunderabad,Telangana + 14 more",Private,18 years old
2669,Onicra Credit Ra...,3.2,(162 Reviews),"Delhi/NCR,New Delhi + 34 more",Public,29 years old
2670,Carrier Midea,4.0,(162 Reviews),10 years old,"Gurgaon/Gurugram,Haryana + 33 more",501-1k Employees (India)
2671,IOT Infrastructu...,4.2,(162 Reviews),"Mumbai,Maharashtra + 20 more",Private,26 years old
2672,E2logy Software ...,4.9,(162 Reviews),"Ahmedabad,Gujarat + 2 more",Private,17 years old
2673,DSM Infocom,2.5,(162 Reviews),Heerlen + 32 more,Private,18 years old
2674,Onkar Infotech,4.1,(162 Reviews),"Gurgaon/Gurugram,Haryana + 1 more",Private,22 years old
2675,Khimji Ramdas,4.1,(162 Reviews),Muscat + 18 more,Private,152 years old
2676,Anu Industries,3.8,(162 Reviews),"Delhi/NCR,New Delhi + 12 more",Private,48 years old
2677,Arabian Industri...,4.3,(162 Reviews),Muscat + 5 more,Private,31 years old
2678,iBall,3.7,(162 Reviews),"Mumbai,Maharashtra + 35 more",Private,21 years old
2679,Cochin Shipyard,4.2,(162 Reviews),"Ernakulam,Kerala + 7 more",Private,50 years old
2680,MBD GROUP,3.9,(162 Reviews),New Delhi + 30 more,Private,66 years old
2681,IIT Bombay,4.5,(162 Reviews),"Mumbai,Maharashtra + 4 more",Public,64 years old
2682,Global Hospital ...,4.1,(162 Reviews),"Pune,Maharashtra + 12 more",Private,10 years old
2683,Petron Engineeri...,4.3,(162 Reviews),"Mumbai,Maharashtra + 25 more",Public,46 years old
2684,Laxmi Organic In...,4.0,(162 Reviews),"Mumbai,Maharashtra + 5 more",Public,30 years old
2685,Machino Plastics,3.8,(162 Reviews),"Gurgaon/Gurugram,Haryana + 9 more",Public,35 years old
2686,Gainwell Commosa...,4.1,(162 Reviews),"Kolkata,West Bengal + 31 more",Private,78 years old
2687,Jay Chemical Ind...,4.1,(162 Reviews),"Ahmedabad,Gujarat + 13 more",Private,55 years old
2688,SKH Y-TEC,3.9,(162 Reviews),Becharaji + 11 more,Private,9 years old
2689,Jamshedpur Utili...,4.1,(162 Reviews),Jamshedpur + 9 more,Public,18 years old
2690,Huntsman Interna...,4.4,(162 Reviews),52 years old,Texas + 19 more,501-1k Employees (India)
2691,Harman Finochem,3.9,(162 Reviews),"Mumbai,Maharashtra + 7 more",Private,15 years old
2692,Citigroup,3.9,(1.7k Reviews),"New York City,New York + 15 more",Private,210 years old
2693,Nimbus Harbor Fa...,4.1,(161 Reviews),"Gurgaon/Gurugram,Haryana + 10 more",Private,18 years old
2694,Hsbc Technology,4.1,(161 Reviews),London + 6 more,Private,157 years old
2695,Gyan Dairy,3.9,(161 Reviews),"Lucknow,Uttar Pradesh + 11 more",Private,15 years old
2696,Sany Heavy Indus...,4.0,(161 Reviews),"Beijing,Beijing + 32 more",Private,33 years old
2697,VISA Steel,4.0,(161 Reviews),"Bhubaneswar,Odisha + 10 more",Public,26 years old
2698,NetApp,4.2,(161 Reviews),"San Jose,California + 3 more",Private,30 years old
2699,VISA Steel,4.0,(161 Reviews),"Bhubaneswar,Odisha + 10 more",Public,26 years old
2700,Superhouse,3.8,(161 Reviews),"Unnao,Uttar Pradesh + 7 more",Public,42 years old
2701,RMC Readymix,4.0,(161 Reviews),"Mumbai,Maharashtra + 36 more",Private,26 years old
2702,Supermax Persona...,4.1,(161 Reviews),"Dubai,Dubai + 35 more",Private,73 years old
2703,Pmkvy,3.9,(161 Reviews),7 years old,"Delhi/NCR,Delhi + 68 more",10k+ Employees (Global)
2704,Nspira Managemen...,3.6,(161 Reviews),7 years old,"Hyderabad/Secunderabad,Telangana + 16 more",501-1k Employees (India)
2705,Hsbc Technology,4.1,(161 Reviews),London + 6 more,Private,157 years old
2706,Romsons Group Of...,4.1,(161 Reviews),"Agra,Uttar Pradesh + 29 more",Private,70 years old
2707,Mayoor School,4.9,(161 Reviews),19 years old,"Noida,Uttar Pradesh + 5 more",51-200 Employees (India)
2708,Pfizer Products ...,4.2,(161 Reviews),173 years old,"New York City,New York + 8 more",1k-5k Employees (India)
2709,ANAROCK Property...,3.7,(161 Reviews),"Mumbai,Maharashtra + 18 more",Private,5 years old
2710,Sany Heavy Indus...,4.0,(161 Reviews),"Beijing,Beijing + 32 more",Private,33 years old
2711,Murugappa Group,4.1,(6.7k Reviews),"Chennai,Tamil Nadu + 47 more",Private,50 years old
2712,Concorde Motors,4.3,(160 Reviews),"Bangalore/Bengaluru,Karnataka + 12 more",Public,50 years old
2713,Wolters Kluwer,3.9,(160 Reviews),16 years old,"Alphen Aan Den Rijn,South Holland + 10 more",201-500 Employees (India)
2714,Tube Products of...,4.1,(160 Reviews),67 years old,"Chennai,Tamil Nadu + 9 more",10k-50k Employees (India)
2715,Aptus Value Hous...,4.3,(160 Reviews),"Chennai,Tamil Nadu + 68 more",Private,13 years old
2716,Saudi Electricit...,4.5,(160 Reviews),"Riyadh,Riyadh + 14 more",Private,22 years old
2717,Wanbury,3.6,(160 Reviews),"Mumbai,Maharashtra + 20 more",Public,34 years old
2718,Shyam Indus Powe...,3.8,(160 Reviews),"Delhi/NCR,Delhi + 17 more",Private,18 years old
2719,HPM Chemicals & ...,4.7,(160 Reviews),New Delhi + 29 more,Private,45 years old
2720,Vision Express,4.0,(160 Reviews),"Bangalore/Bengaluru,Karnataka + 26 more",Private,14 years old
2721,Nalco water,4.5,(160 Reviews),Naperville + 25 more,Private,94 years old
2722,Nisa Industrial ...,3.9,(160 Reviews),"Mumbai,Maharashtra + 29 more",Private,49 years old
2723,Net Solutions,4.7,(160 Reviews),"Chandigarh,Haryana",Sole Proprietorship,22 years old
2724,Anand Rathi Glob...,3.6,(160 Reviews),Mumbai + 34 more,Private,40 years old
2725,Amoli Organics,3.9,(160 Reviews),31 years old,"Mumbai,Maharashtra + 4 more",1k-5k Employees (India)
2726,Bajaj Hindusthan,4.2,(159 Reviews),"Mumbai,Maharashtra + 13 more",Public,91 years old
2727,Stovekraft,3.7,(159 Reviews),"Bangalore/Bengaluru,Karnataka + 18 more",Private,28 years old
2728,Apparel Group,3.4,(159 Reviews),"Dubai,Dubai + 14 more",Private,23 years old
2729,Johnson Matthey,4.1,(159 Reviews),London + 12 more,Private,205 years old
2730,Taraashna Financ...,4.0,(159 Reviews),Gurgaon + 44 more,Private,10 years old
2731,Aparna Enterpris...,4.4,(159 Reviews),32 years old,"Hyderabad/Secunderabad,Telangana + 19 more",501-1k Employees (India)
2732,Patil Group,4.0,(159 Reviews),89 years old,Hyderabad + 26 more,11-50 Employees (India)
2733,Global Edge Soft...,3.5,(159 Reviews),"Bangalore,Karnataka + 7 more",Private,17 years old
2734,Secure Value,3.5,(159 Reviews),"Mumbai,Maharashtra + 49 more",Private,20 years old
2735,Pegasystems,3.7,(159 Reviews),"Cambridge,Massachusetts + 2 more",Private,39 years old
2736,Invesco,4.2,(159 Reviews),"Atlanta,Atlanta + 3 more",Private,87 years old
2737,Gujarat Gas,4.5,(159 Reviews),"Gandhinagar,Gujarat + 30 more",Public,42 years old
2738,Big C,4.3,(159 Reviews),"Hyderabad/Secunderabad,Telangana + 24 more",Private,19 years old
2739,Holcim,3.3,(159 Reviews),Navi Mumbai + 22 more,Private,110 years old
2740,Servion Global S...,3.6,(159 Reviews),"Chennai,Tamil Nadu + 11 more",Private,27 years old
