,Company,rating,reviews,place,company type,old
415,Dainik Bhaskar G...,4.1,(911 Reviews),"Bhopal,Madhya Pradesh + 105 more",Public,64 years old
416,ValueLabs,3.8,(910 Reviews),"Hyderabad/Secunderabad,Telangana + 10 more",Private,25 years old
417,Cybage,3.9,(908 Reviews),"Pune,Maharashtra + 4 more",Private,27 years old
418,ITC Hotels,4.0,(952 Reviews),"Kolkata,West Bengal + 59 more",Public,47 years old
419,State Street Cor...,3.7,(1k Reviews),"Boston,Massachusetts + 9 more",Private,12 years old
420,Barclays Shared ...,4.3,(903 Reviews),London + 10 more,Private,15 years old
421,Honeywell Automa...,3.9,(902 Reviews),"Morris Plains,New Jersey + 44 more",Public,116 years old
422,Reckitt Benckise...,4.0,(900 Reviews),"Slough,Slough + 90 more",Private,23 years old
423,Synechron,4.1,(1.2k Reviews),"New York,New York + 13 more",Private,21 years old
424,Reliance SMSL,4.2,(897 Reviews),Mumbai + 252 more,Public,15 years old
425,Tata Play,4.1,(895 Reviews),"Mumbai,Maharashtra + 147 more",Public,16 years old
426,BlackBuck,4.0,(895 Reviews),"Bangalore,Karnataka + 146 more",Private,7 years old
427,Syngene Internat...,3.8,(894 Reviews),"Bangalore/Bengaluru,Karnataka + 11 more",Public,29 years old
428,Johnson & Johnso...,4.3,(939 Reviews),"New Brunswick,New Jersey + 106 more",Private,65 years old
429,Barclays,4.2,(934 Reviews),London + 19 more,Private,332 years old
430,Sify Technologie...,4.0,(892 Reviews),"Chennai,Tamil Nadu + 70 more",Private,27 years old
431,Vardhman Fabrics,4.2,(891 Reviews),,Baddi + 48 more,
432,Aforeserve.com,3.5,(888 Reviews),"Noida,Uttar Pradesh + 121 more",Private,22 years old
433,RMSI,3.8,(887 Reviews),"Noida,Uttar Pradesh + 11 more",Private,30 years old
434,Iksula,4.1,(886 Reviews),15 years old,"Mumbai,Maharashtra + 114 more",201-500 Employees (India)
435,Max Fashion,4.3,(886 Reviews),Abu Dhabi + 108 more,Private,8 years old
436,Dr Lal PathLabs,4.2,(884 Reviews),"Gurgaon/Gurugram,Haryana + 106 more",Public,73 years old
437,Inox Leisure,4.1,(881 Reviews),"Mumbai,Maharashtra + 76 more",Public,23 years old
438,Legato Health Te...,4.0,(881 Reviews),5 years old,"Bangalore/Bengaluru,Karnataka + 7 more",5k-10k Employees (India)
439,Akums Drugs & Ph...,4.0,(1.2k Reviews),"Delhi/NCR,New Delhi + 26 more",Private,18 years old
440,Sony,4.4,(977 Reviews),"Delhi/NCR,Delhi + 106 more",Public,28 years old
441,Ninjacart,3.4,(872 Reviews),"Bangalore,Karnataka + 62 more",Private,7 years old
442,Punj Lloyd,4.2,(868 Reviews),"Gurgaon/Gurugram,Haryana + 68 more",Public,40 years old
443,Renault Nissan T...,3.8,(867 Reviews),1k-5k Employees (India),Chennai + 10 more,
444,Bharat Financial...,4.2,(866 Reviews),Hyderabad + 207 more,Public,24 years old
445,Kent RO Systems,3.6,(864 Reviews),"Noida,Uttar Pradesh + 108 more",Private,23 years old
446,Procter & Gamble,4.2,(1.3k Reviews),"Cincinnati,Ohio + 150 more",Public,185 years old
447,The Jaypee Group,4.1,(1.5k Reviews),"Noida,Uttar Pradesh + 80 more",Public,43 years old
448,FedEx Express,4.3,(1k Reviews),"Memphis,Tennessee + 81 more",Private,51 years old
449,Fujitsu,4.0,(855 Reviews),"Bangalore/Bengaluru,Karnataka + 16 more",Private,87 years old
450,Marriott Interna...,4.2,(2.9k Reviews),"Bethesda,Maryland + 57 more",Private,95 years old
451,Adecco Group,3.9,(852 Reviews),"Zurich,Zurich + 100 more",Private,23 years old
452,HCL Technologies...,3.6,(851 Reviews),Noida + 29 more,Private,22 years old
453,Edelweiss,3.9,(850 Reviews),"Mumbai,Maharashtra + 101 more",Public,5 years old
454,Angel One,3.9,(849 Reviews),1k-5k Employees (India),Mumbai + 99 more,
455,Mother Dairy Fru...,4.2,(848 Reviews),"Noida,Uttar Pradesh + 89 more",Private,48 years old
456,DHL Express,4.3,(845 Reviews),Bonn + 71 more,Private,43 years old
457,Emami,4.0,(1.6k Reviews),"Kolkata,West Bengal + 119 more",Public,48 years old
458,AECOM,4.2,(849 Reviews),"Los Angeles,California + 82 more",Private,32 years old
459,Narayana Educati...,3.8,(843 Reviews),"Hyderabad/Secunderabad,Telangana + 90 more",Private,37 years old
